# Menlo Systems Time Domain Spectrometer
# Program Version 1.4.7 
#  Start: -220 ps, Average over 1400 waveforms. Date: 2025-8-25
# Time [ps] 	 THz Signal [a.u.]
-219.98665744	-0.00000000
-219.95330103	-0.00000009
-219.91994462	0.00000024
-219.88658821	0.00000042
-219.85323180	-0.00000048
-219.81987539	0.00000074
-219.78651898	-0.00000187
-219.75316257	0.00000226
-219.71980616	0.00000454
-219.68644975	0.00000069
-219.65309334	0.00000944
-219.61973693	-0.00000524
-219.58638052	0.00001327
-219.55302411	-0.00002330
-219.51966770	-0.00000001
-219.48631129	-0.00002462
-219.45295488	-0.00003439
-219.41959847	0.00000742
-219.38624206	-0.00004545
-219.35288566	0.00004124
-219.31952925	-0.00005609
-219.28617284	-0.00008509
-219.25281643	-0.00001362
-219.21946002	-0.00006920
-219.18610361	-0.00003114
-219.15274720	-0.00002516
-219.11939079	-0.00005665
-219.08603438	-0.00003277
-219.05267797	-0.00004045
-219.01932156	-0.00010828
-218.98596515	0.00000711
-218.95260874	-0.00003038
-218.91925233	-0.00021349
-218.88589592	-0.00011407
-218.85253951	0.00003061
-218.81918310	-0.00005331
-218.78582669	0.00002844
-218.75247028	-0.00012366
-218.71911387	0.00003783
-218.68575746	0.00009518
-218.65240106	-0.00006411
-218.61904465	0.00011205
-218.58568824	0.00019535
-218.55233183	0.00010880
-218.51897542	0.00012025
-218.48561901	0.00011884
-218.45226260	0.00016287
-218.41890619	0.00014112
-218.38554978	0.00022033
-218.35219337	-0.00001755
-218.31883696	-0.00006917
-218.28548055	0.00022246
-218.25212414	0.00002363
-218.21876773	0.00048084
-218.18541132	0.00037999
-218.15205491	0.00037605
-218.11869850	0.00017652
-218.08534209	0.00039762
-218.05198568	0.00043799
-218.01862927	0.00023296
-217.98527287	0.00062063
-217.95191646	0.00044956
-217.91856005	0.00055428
-217.88520364	0.00017409
-217.85184723	0.00057656
-217.81849082	0.00044054
-217.78513441	0.00073898
-217.75177800	0.00054023
-217.71842159	0.00045703
-217.68506518	0.00053291
-217.65170877	0.00035992
-217.61835236	0.00063463
-217.58499595	0.00020459
-217.55163954	0.00077751
-217.51828313	0.00051056
-217.48492672	0.00056162
-217.45157031	0.00069950
-217.41821390	0.00059682
-217.38485749	0.00054786
-217.35150108	0.00075339
-217.31814467	0.00045636
-217.28478827	0.00071333
-217.25143186	0.00056686
-217.21807545	0.00070411
