# Menlo Systems Time Domain Spectrometer
# Program Version 1.4.7 
#  Start: -220 ps, Average over 1400 waveforms. Date: 2025-8-25
# Time [ps] 	 THz Signal [a.u.]
-219.98665744	-0.00000000
-219.95330103	-0.00000007
-219.91994462	0.00000001
-219.88658821	-0.00000077
-219.85323180	0.00000328
-219.81987539	-0.00000014
-219.78651898	-0.00000561
-219.75316257	0.00000429
-219.71980616	-0.00000043
-219.68644975	0.00000853
-219.65309334	0.00001851
-219.61973693	0.00001570
-219.58638052	-0.00002068
-219.55302411	0.00000343
-219.51966770	0.00004235
-219.48631129	0.00001009
-219.45295488	0.00004196
-219.41959847	0.00004390
-219.38624206	0.00003418
-219.35288566	0.00005673
-219.31952925	0.00004229
-219.28617284	-0.00001147
-219.25281643	0.00006544
-219.21946002	0.00011266
-219.18610361	0.00003247
-219.15274720	0.00009585
-219.11939079	0.00014849
-219.08603438	0.00020810
-219.05267797	0.00013169
-219.01932156	0.00017516
-218.98596515	0.00015924
-218.95260874	0.00017587
-218.91925233	0.00021289
-218.88589592	0.00026917
-218.85253951	0.00031998
-218.81918310	0.00044838
-218.78582669	0.00040418
-218.75247028	0.00035147
-218.71911387	0.00028818
-218.68575746	0.00048368
-218.65240106	0.00064568
-218.61904465	0.00045727
-218.58568824	0.00065680
-218.55233183	0.00081062
-218.51897542	0.00075075
-218.48561901	0.00077517
-218.45226260	0.00084085
-218.41890619	0.00092347
-218.38554978	0.00085298
-218.35219337	0.00081788
-218.31883696	0.00113489
-218.28548055	0.00123136
-218.25212414	0.00141841
-218.21876773	0.00155244
-218.18541132	0.00160378
-218.15205491	0.00156596
-218.11869850	0.00179640
-218.08534209	0.00181636
-218.05198568	0.00193940
-218.01862927	0.00193375
-217.98527287	0.00199964
-217.95191646	0.00208242
-217.91856005	0.00191440
-217.88520364	0.00168638
-217.85184723	0.00186931
-217.81849082	0.00145390
-217.78513441	0.00131091
-217.75177800	0.00061745
-217.71842159	0.00019430
-217.68506518	-0.00064988
-217.65170877	-0.00139021
-217.61835236	-0.00231299
-217.58499595	-0.00330096
-217.55163954	-0.00415896
-217.51828313	-0.00470614
-217.48492672	-0.00522136
-217.45157031	-0.00549196
-217.41821390	-0.00550904
-217.38485749	-0.00515932
-217.35150108	-0.00461967
-217.31814467	-0.00419438
-217.28478827	-0.00331882
-217.25143186	-0.00280525
-217.21807545	-0.00199013
-217.18471904	-0.00125667
-217.15136263	-0.00045070
-217.11800622	0.00002263
-217.08464981	0.00059992
-217.05129340	0.00135133
-217.01793699	0.00155478
-216.98458058	0.00185200
-216.95122417	0.00183221
-216.91786776	0.00182822
-216.88451135	0.00172268
-216.85115494	0.00182896
-216.81779853	0.00142493
-216.78444212	0.00163344
-216.75108571	0.00159136
-216.71772930	0.00132816
-216.68437289	0.00120941
-216.65101648	0.00119684
-216.61766007	0.00094695
-216.58430367	0.00099189
-216.55094726	0.00068344
-216.51759085	0.00049569
-216.48423444	0.00073424
-216.45087803	0.00089388
-216.41752162	0.00112209
-216.38416521	0.00070563
-216.35080880	0.00078902
-216.31745239	0.00074610
-216.28409598	0.00066377
-216.25073957	0.00065247
-216.21738316	0.00061064
-216.18402675	0.00033396
-216.15067034	0.00071851
-216.11731393	0.00033909
-216.08395752	0.00048206
-216.05060111	0.00041575
-216.01724470	0.00032005
-215.98388829	0.00035077
-215.95053188	0.00022637
-215.91717547	0.00037891
-215.88381907	0.00027999
-215.85046266	0.00039887
-215.81710625	0.00026910
-215.78374984	0.00019296
-215.75039343	0.00019257
-215.71703702	0.00044702
-215.68368061	0.00051480
-215.65032420	0.00025088
-215.61696779	0.00016246
-215.58361138	-0.00018469
-215.55025497	0.00022624
-215.51689856	0.00003672
-215.48354215	-0.00029543
-215.45018574	-0.00045988
-215.41682933	-0.00037745
-215.38347292	-0.00056762
-215.35011651	-0.00075137
-215.31676010	-0.00062061
-215.28340369	-0.00086406
-215.25004728	-0.00093987
-215.21669087	-0.00097956
-215.18333447	-0.00073848
-215.14997806	-0.00103912
-215.11662165	-0.00085769
-215.08326524	-0.00112628
-215.04990883	-0.00086281
-215.01655242	-0.00090924
-214.98319601	-0.00101110
-214.94983960	-0.00108020
-214.91648319	-0.00125178
-214.88312678	-0.00089688
-214.84977037	-0.00133099
-214.81641396	-0.00160067
-214.78305755	-0.00139402
-214.74970114	-0.00187944
-214.71634473	-0.00172215
-214.68298832	-0.00194600
-214.64963191	-0.00185018
-214.61627550	-0.00170408
-214.58291909	-0.00191433
-214.54956268	-0.00178002
-214.51620627	-0.00189327
-214.48284987	-0.00179351
-214.44949346	-0.00179476
-214.41613705	-0.00164204
-214.38278064	-0.00178754
-214.34942423	-0.00164582
-214.31606782	-0.00156949
-214.28271141	-0.00156386
-214.24935500	-0.00137836
-214.21599859	-0.00141075
-214.18264218	-0.00116684
-214.14928577	-0.00123878
-214.11592936	-0.00107881
-214.08257295	-0.00099959
-214.04921654	-0.00102721
-214.01586013	-0.00088576
-213.98250372	-0.00082065
-213.94914731	-0.00057542
-213.91579090	-0.00044932
-213.88243449	-0.00064406
-213.84907808	-0.00043918
-213.81572168	-0.00040408
-213.78236527	-0.00030550
-213.74900886	-0.00070457
-213.71565245	-0.00042678
-213.68229604	-0.00095143
-213.64893963	-0.00115985
-213.61558322	-0.00123979
-213.58222681	-0.00175229
-213.54887040	-0.00203561
-213.51551399	-0.00287946
-213.48215758	-0.00357163
-213.44880117	-0.00422545
-213.41544476	-0.00515734
-213.38208835	-0.00575308
-213.34873194	-0.00628757
-213.31537553	-0.00707799
-213.28201912	-0.00747064
-213.24866271	-0.00799058
-213.21530630	-0.00778918
-213.18194989	-0.00765644
-213.14859348	-0.00707911
-213.11523708	-0.00644197
-213.08188067	-0.00515391
-213.04852426	-0.00417001
-213.01516785	-0.00269719
-212.98181144	-0.00142233
-212.94845503	-0.00021367
-212.91509862	0.00096357
-212.88174221	0.00203820
-212.84838580	0.00300177
-212.81502939	0.00381783
-212.78167298	0.00430771
-212.74831657	0.00462449
-212.71496016	0.00489350
-212.68160375	0.00501469
-212.64824734	0.00499439
-212.61489093	0.00529270
-212.58153452	0.00544820
-212.54817811	0.00577204
-212.51482170	0.00581737
-212.48146529	0.00603291
-212.44810888	0.00629259
-212.41475248	0.00628844
-212.38139607	0.00651542
-212.34803966	0.00660644
-212.31468325	0.00681736
-212.28132684	0.00699508
-212.24797043	0.00688099
-212.21461402	0.00708190
-212.18125761	0.00739573
-212.14790120	0.00765058
-212.11454479	0.00756224
-212.08118838	0.00819539
-212.04783197	0.00827964
-212.01447556	0.00852886
-211.98111915	0.00899235
-211.94776274	0.00913193
-211.91440633	0.00997167
-211.88104992	0.01068070
-211.84769351	0.01168889
-211.81433710	0.01296891
-211.78098069	0.01395643
-211.74762428	0.01536811
-211.71426788	0.01740382
-211.68091147	0.01923348
-211.64755506	0.02146776
-211.61419865	0.02392034
-211.58084224	0.02654971
-211.54748583	0.02943798
-211.51412942	0.03259573
-211.48077301	0.03649181
-211.44741660	0.04075198
-211.41406019	0.04479741
-211.38070378	0.05002964
-211.34734737	0.05551719
-211.31399096	0.06105492
-211.28063455	0.06744174
-211.24727814	0.07409591
-211.21392173	0.08178938
-211.18056532	0.08974596
-211.14720891	0.09811944
-211.11385250	0.10716634
-211.08049609	0.11691352
-211.04713968	0.12663245
-211.01378328	0.13721360
-210.98042687	0.14764018
-210.94707046	0.16021783
-210.91371405	0.17286125
-210.88035764	0.18639824
-210.84700123	0.20010215
-210.81364482	0.21555833
-210.78028841	0.23161162
-210.74693200	0.24778822
-210.71357559	0.26565401
-210.68021918	0.28593003
-210.64686277	0.30700775
-210.61350636	0.32954809
-210.58014995	0.35317651
-210.54679354	0.37924968
-210.51343713	0.40641283
-210.48008072	0.43467378
-210.44672431	0.46437374
-210.41336790	0.49657460
-210.38001149	0.52899508
-210.34665508	0.56070559
-210.31329868	0.59045224
-210.27994227	0.61714369
-210.24658586	0.63615398
-210.21322945	0.64506903
-210.17987304	0.63802866
-210.14651663	0.60778280
-210.11316022	0.54641273
-210.07980381	0.44375105
-210.04644740	0.29107822
-210.01309099	0.07414569
-209.97973458	-0.20801371
-209.94637817	-0.56134387
-209.91302176	-0.98159958
-209.87966535	-1.47827663
-209.84630894	-2.00933267
